                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6189,                 3.9316,                 1.9015,                0.21526,                0.02868,                 0.0144,                0.00498,                 2.8197,                 4.0776,                 2.1627,                0.06701,             0.00033323,             0.00033323
                      1,                  2.565,                 3.7247,                 1.8612,                0.23933,                0.02347,                0.01725,                0.00652,                 2.6676,                  3.918,                 1.9407,               0.034003,             0.00065997,             0.00065997
                      2,                 2.5268,                  3.669,                 1.8262,                0.24996,                0.03964,                0.02728,                0.01072,                 2.5934,                 3.7637,                 1.9192,             0.00099013,              0.0009801,              0.0009801
                      3,                 2.4925,                 3.6033,                 1.7989,                0.26205,                 0.0522,                0.03027,                0.01177,                 2.5461,                 3.6967,                 1.8975,              0.0009703,              0.0009703,              0.0009703
                      4,                 2.4687,                 3.5619,                 1.7738,                0.09795,                0.04964,                0.03439,                 0.0141,                 2.5285,                 3.6554,                 1.8843,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.4619,                 3.5378,                  1.771,                0.09168,                0.04473,                0.03277,                 0.0134,                 2.5085,                 3.6412,                 1.8577,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.4424,                 3.5012,                 1.7654,                0.09074,                0.05542,                0.03695,                0.01554,                 2.5072,                  3.629,                 1.8351,              0.0009505,              0.0009505,              0.0009505
                      7,                 2.4345,                 3.4773,                 1.7566,                0.09662,                0.05961,                0.04139,                 0.0172,                 2.4927,                 3.5826,                 1.8407,              0.0009406,              0.0009406,              0.0009406
                      8,                 2.4211,                 3.4596,                 1.7473,                0.09881,                0.06704,                0.04469,                0.01865,                 2.4776,                 3.5571,                 1.8441,              0.0009307,              0.0009307,              0.0009307
                      9,                 2.4008,                 3.4364,                  1.736,                0.26641,                0.06562,                0.04412,                 0.0187,                 2.4642,                 3.5618,                 1.8265,              0.0009208,              0.0009208,              0.0009208
                     10,                 2.4132,                 3.4256,                 1.7299,                0.10342,                 0.0663,                0.04556,                 0.0192,                 2.4624,                 3.5419,                 1.8199,              0.0009109,              0.0009109,              0.0009109
                     11,                 2.3942,                 3.4112,                 1.7296,                0.09846,                0.06991,                0.04615,                0.01921,                 2.4474,                  3.532,                 1.8149,               0.000901,               0.000901,               0.000901
                     12,                 2.3859,                 3.3997,                 1.7249,                0.12533,                0.07371,                0.04713,                 0.0203,                 2.4448,                 3.5213,                 1.8173,              0.0008911,              0.0008911,              0.0008911
                     13,                  2.377,                 3.3822,                 1.7219,                0.11332,                0.07314,                0.04818,                0.02082,                 2.4458,                   3.52,                 1.8223,              0.0008812,              0.0008812,              0.0008812
                     14,                 2.3822,                 3.3672,                  1.718,                0.11929,                0.07621,                0.04848,                0.02114,                  2.442,                 3.5178,                 1.8224,              0.0008713,              0.0008713,              0.0008713
                     15,                 2.3685,                 3.3549,                 1.7174,                0.12881,                 0.0769,                0.04786,                0.02074,                 2.4401,                 3.5127,                 1.8192,              0.0008614,              0.0008614,              0.0008614
                     16,                  2.362,                 3.3357,                 1.7068,                0.14368,                0.07751,                0.04847,                0.02085,                  2.439,                 3.5058,                 1.8158,              0.0008515,              0.0008515,              0.0008515
                     17,                 2.3586,                 3.3354,                  1.705,                0.14434,                0.07624,                0.04913,                0.02108,                 2.4383,                 3.5027,                 1.8147,              0.0008416,              0.0008416,              0.0008416
                     18,                 2.3575,                 3.3241,                 1.7027,                0.12046,                0.07627,                0.04938,                0.02116,                 2.4372,                 3.4997,                 1.8153,              0.0008317,              0.0008317,              0.0008317
                     19,                 2.3537,                 3.3164,                 1.6975,                0.14805,                0.07814,                0.04965,                0.02126,                 2.4362,                 3.4964,                 1.8146,              0.0008218,              0.0008218,              0.0008218
                     20,                 2.3474,                 3.3057,                 1.6893,                0.14662,                0.07731,                0.04984,                0.02131,                 2.4333,                 3.4943,                 1.8135,              0.0008119,              0.0008119,              0.0008119
                     21,                 2.3445,                 3.2929,                 1.6894,                0.15417,                0.07915,                0.05058,                0.02159,                 2.4319,                 3.4925,                 1.8129,               0.000802,               0.000802,               0.000802
                     22,                 2.3346,                 3.2922,                 1.6853,                 0.1677,                0.07883,                0.05108,                0.02179,                 2.4312,                 3.4905,                 1.8127,              0.0007921,              0.0007921,              0.0007921
